<NOISE> 1.0	NSN
ตุ่ม 1.0	t u m2
ตุ่มมังกร 1.0	t u m2 m a ŋ1 k ɔː n1
ตุ่มรับรส 1.0	t u m2 r a p̚4 r o t̚4
ตุ้งติ้ง 1.0	t u ŋ3 t i ŋ3
ตุ้ม 1.0	t u m3
ตุ้มหู 1.0	t u m3 h uː5
ตุ๊กตา 1.0	t u k̚4 k a2 t aː1
ตุ๊กตาหิมะ 1.0	t u k̚4 k a2 t aː1 h i2 m a ʔ4
ตุ๊กตาเสียกบาล 1.0	t u k̚4 k a2 t aː1 s i a̯5 k a2 b aː n1
ตุ๊กตาแม่ลูกดก 1.0	t u k̚4 k a2 t aː1 m ɛː3 l uː k̚3 d o k̚2
ตุ๊กตุ๊ก 1.0	t u k̚4 t u k̚4
ตุ๊กแก 1.0	t u k̚4 k ɛː1
ตุ๊ด 1.0	t u t̚4
ตุ๋น 1.0	t u n5
ตุ๋ย 1.0	t u j5
ตู 1.0	t uː1
ตูด 1.0	t uː t̚2
ตูนิเซีย 1.0	t uː1 n i4 s i a̯1
ตูม 1.0	t uː m1
ตูวาลู 1.0	t uː1 w aː1 l uː1
ตู้ 1.0	t uː3
ตู้ปลา 1.0	t uː3 p l aː1
ตู้รถไฟ 1.0	t uː3 r o t̚4 f a j1
ตู้หนังสือ 1.0	t uː3 n a ŋ5 s ɯː5
ตู้เซฟ 1.0	t uː3 s e f4
ตู้เซฟ 1.0	t uː3 s e p̚4
ตู้เพลง 1.0	t uː3 pʰ l eː ŋ1
ตู้เย็น 1.0	t uː3 j e n1
ตู้เสื้อผ้า 1.0	t uː3 s ɯ a̯3 pʰ aː3
ตู้ไปรษณีย์ 1.0	t uː3 p r a j1 s a2 n iː1
ต่วน 1.0	t u a̯ n2
ต่อ 1.0	t ɔː2
ต่อต้าน 1.0	t ɔː2 t aː n3
ต่อม 1.0	t ɔ m2
ต่อมตง 1.0	t ɔ m2 t o ŋ1
ต่อมทอนซิล 1.0	t ɔ m2 tʰ ɔː n1 s i n1
ต่อมน้ำลาย 1.0	t ɔ m2 n a m4 l aː j1
ต่อมน้ำเหลือง 1.0	t ɔ m2 n a m4 l ɯ a̯ ŋ5
ต่อมลูกหมาก 1.0	t ɔ m2 l uː k̚3 m aː k̚2
ต่อมหมวกไต 1.0	t ɔ m2 m u a̯ k̚2 t a j1
ต่อมใต้สมอง 1.0	t ɔ m2 t a j3 s a2 m ɔː ŋ5
ต่อมไทรอยด์ 1.0	t ɔ m2 tʰ a j1 r ɔː j1
ต่อมไพเนียล 1.0	t ɔ m2 pʰ a j1 n i a̯ l1
ต่อมไร้ท่อ 1.0	t ɔ m2 r a j4 tʰ ɔː3
ต่อย 1.0	t ɔ j2
ต่อยอด 1.0	t ɔː2 j ɔː t̚3
ต่อรอง 1.0	t ɔː2 r ɔː ŋ1
ต่อสู้ 1.0	t ɔː2 s uː3
ต่อเนื่อง 1.0	t ɔː2 n ɯ a̯ ŋ3
ต่อไป 1.0	t ɔː2 p a j1
ต่าง 1.0	t aː ŋ2
ต่างชาติ 1.0	t aː ŋ2 t͡ɕʰ aː t̚3
ต่างด้าว 1.0	t aː ŋ2 d aː w3
ต่างประเทศ 1.0	t aː ŋ2 p r a2 tʰ eː t̚3
ต่างหาก 1.0	t aː ŋ2 h aː k̚2
ต่างหู 1.0	t aː ŋ2 h uː5
ต่างเพศ 1.0	t aː ŋ2 pʰ eː t̚3
ต่ำ 1.0	t a m2
ต่ำตม 1.0	t a m2 t o m1
ต่ำต้อย 1.0	t a m2 t ɔː j3
ต้น 1.0	t o n3
ต้นคอ 1.0	t o n3 kʰ ɔː1
ต้นฉบับ 1.0	t o n3 t͡ɕʰ a2 b a p̚2
ต้นตอ 1.0	t o n3 t ɔː1
ต้นสายปลายเหตุ 1.0	t o n3 s aː j5 p l aː j1 h eː t̚2
ต้นหน 1.0	t o n3 h o n5
ต้นหอม 1.0	t o n3 h ɔː m5
ต้นไม้ 1.0	t o n3 m aː j4
ต้ม 1.0	t o m3
ต้มข่า 1.0	t o m3 kʰ aː2
ต้มตุ๋น 1.0	t o m3 t u n5
ต้มยำ 1.0	t o m3 j a m1
ต้วมเตี้ยม 1.0	t u a̯ m3 t i a̯ m3
ต้อ 1.0	t ɔː3
ต้อง 1.0	t ɔ ŋ3
ต้องการ 1.0	t ɔ ŋ3 k aː n1
ต้องราชประสงค์ 1.0	t ɔ ŋ3 r aː t̚3 t͡ɕʰ a4 p r a2 s o ŋ5
ต้อน 1.0	t ɔː n3
ต้อนรับ 1.0	t ɔː n3 r a p̚4
ต้าน 1.0	t aː n3
ต้านทาน 1.0	t aː n3 tʰ aː n1
ถ 1.0	tʰ ɔː5
ถก 1.0	tʰ o k̚2
ถกเถียง 1.0	tʰ o k̚2 tʰ i a̯ ŋ5
ถถถ 1.0	h aː3 h aː3 h aː3
ถถถ 1.0	tʰ ɔː5 tʰ ɔː5 tʰ ɔː5
ถนน 1.0	tʰ a2 n o n5
ถนอม 1.0	tʰ a2 n ɔː m5
ถบดี 1.0	tʰ a2 b ɔː1 d iː1
ถม 1.0	tʰ o m5
ถลก 1.0	tʰ a2 l o k̚2
ถลอก 1.0	tʰ a2 l ɔː k̚2
ถลาง 1.0	tʰ a2 l aː ŋ5
ถลุง 1.0	tʰ a2 l u ŋ5
ถล่ม 1.0	tʰ a2 l o m2
ถวาย 1.0	tʰ a2 w aː j5
ถวายบังคม 1.0	tʰ a2 w aː j5 b a ŋ1 kʰ o m1
ถวายบังคมลา 1.0	tʰ a2 w aː j5 b a ŋ1 kʰ o m1 l aː1
ถวายพระพร 1.0	tʰ a2 w aː j5 pʰ r a4 pʰ ɔː n1
ถอก 1.0	tʰ ɔː k̚2
ถอด 1.0	tʰ ɔː t̚2
ถอดความ 1.0	tʰ ɔː t̚2 kʰ w aː m1
ถอดถอน 1.0	tʰ ɔː t̚2 tʰ ɔː n5
ถอดใจ 1.0	tʰ ɔː t̚2 t͡ɕ a j1
ถอน 1.0	tʰ ɔː n5
ถอนรากถอนโคน 1.0	tʰ ɔː n5 r aː k̚3 tʰ ɔː n5 kʰ oː n1
ถอนหงอก 1.0	tʰ ɔː n5 ŋ ɔː k̚2
ถอนใจ 1.0	tʰ ɔː n5 t͡ɕ a j1
ถอย 1.0	tʰ ɔ j5
ถอยหลังเข้าคลอง 1.0	tʰ ɔ j5 l a ŋ5 kʰ a w3 kʰ l ɔː ŋ1
ถะ 1.0	tʰ a ʔ2
ถัก 1.0	tʰ a k̚2
ถัง 1.0	tʰ a ŋ5
ถังขยะ 1.0	tʰ a ŋ5 kʰ a2 j a ʔ2
ถังดับเพลิง 1.0	tʰ a ŋ5 d a p̚2 pʰ l ɤː ŋ1
ถัด 1.0	tʰ a t̚2
ถั่งเช่า 1.0	tʰ a ŋ2 t͡ɕʰ a w3
ถั่ว 1.0	tʰ u a̯2
ถั่วงอก 1.0	tʰ u a̯2 ŋ ɔː k̚3
ถั่วดำ 1.0	tʰ u a̯2 d a m1
ถั่วปากอ้า 1.0	tʰ u a̯2 p aː k̚2 ʔ aː3
ถั่วฝักยาว 1.0	tʰ u a̯2 f a k̚2 j aː w1
ถั่วพู 1.0	tʰ u a̯2 pʰ uː1
ถั่วเขียว 1.0	tʰ u a̯2 kʰ i a̯ w5
ถั่วเพาะ 1.0	tʰ u a̯2 pʰ ɔ ʔ4
ถั่วเหลือง 1.0	tʰ u a̯2 l ɯ a̯ ŋ5
ถาก 1.0	tʰ aː k̚2
ถาง 1.0	tʰ aː ŋ5
ถาด 1.0	tʰ aː t̚2
ถาม 1.0	tʰ aː m5
ถามหา 1.0	tʰ aː m5 h aː5
ถามไถ่ 1.0	tʰ aː m5 tʰ a j2
ถาวร 1.0	tʰ aː5 w ɔː n1
ถาวร 1.0	tʰ aː5 w ɔː1 r a4
ถาวรวัตถุ 1.0	tʰ aː5 w ɔː1 r a4 w a t̚4 tʰ u ʔ2
ถาวรวัตถุ 1.0	tʰ aː5 w ɔː n1 w a t̚4 tʰ u ʔ2
ถิ่น 1.0	tʰ i n2
ถีบ 1.0	tʰ iː p̚2
ถีบหัวส่ง 1.0	tʰ iː p̚2 h u a̯5 s o ŋ2
ถี่ 1.0	tʰ iː2
ถึก 1.0	tʰ ɯ k̚2
ถึง 1.0	tʰ ɯ ŋ5
ถึงอย่างนั้น 1.0	tʰ ɯ ŋ5 j aː ŋ2 n a n4
ถึงแก่กรรม 1.0	tʰ ɯ ŋ5 k ɛː2 k a m1
ถึงแก่ความตาย 1.0	tʰ ɯ ŋ5 k ɛː2 kʰ w aː m1 t aː j1
ถือ 1.0	tʰ ɯː5
ถือตัว 1.0	tʰ ɯː5 t u a̯1
ถือสา 1.0	tʰ ɯː5 s aː5
ถุง 1.0	tʰ u ŋ5
ถุงก๊อบแก๊บ 1.0	tʰ u ŋ5 k ɔ p̚4 k ɛ p̚4
ถุงตีน 1.0	tʰ u ŋ5 t iː n1
ถุงนอน 1.0	tʰ u ŋ5 n ɔː n1
ถุงน่อง 1.0	tʰ u ŋ5 n ɔ ŋ3
ถุงน้ำดี 1.0	tʰ u ŋ5 n aː m4 d iː1
ถุงพลาสติก 1.0	tʰ u ŋ5 pʰ l aː s4 t i k̚2
ถุงพลาสติก 1.0	tʰ u ŋ5 pʰ l aː t̚4 s a2 t i k̚2
ถุงมือ 1.0	tʰ u ŋ5 m ɯː1
ถุงยาง 1.0	tʰ u ŋ5 j aː ŋ1
ถุงยางอนามัย 1.0	tʰ u ŋ5 j aː ŋ1 ʔ a2 n aː1 m a j1
ถุงเท้า 1.0	tʰ u ŋ5 tʰ aː w4
ถุย 1.0	tʰ u j5
ถู 1.0	tʰ uː5
ถูก 1.0	tʰ uː k̚2
ถูกต้อง 1.0	tʰ uː k̚2 t ɔ ŋ3
ถูกปาก 1.0	tʰ uː k̚2 p aː k̚2
ถูกส่วน 1.0	tʰ uː k̚2 s u a̯ n2
ถ่ม 1.0	tʰ o m2
ถ่มถุย 1.0	tʰ o m2 tʰ u j5
ถ่วง 1.0	tʰ u a̯ ŋ2
ถ่วงเวลา 1.0	tʰ u a̯ ŋ2 w eː1 l aː1
ถ่อ 1.0	tʰ ɔː2
ถ่อง 1.0	tʰ ɔ ŋ2
ถ่อม 1.0	tʰ ɔ m2
ถ่อมตัว 1.0	tʰ ɔ m2 t u a̯1
ถ่อย 1.0	tʰ ɔ j2
ถ่าง 1.0	tʰ aː ŋ2
ถ่าน 1.0	tʰ aː n2
ถ่านหิน 1.0	tʰ aː n2 h i n5
ถ่านไม้ 1.0	tʰ aː n2 m aː j4
ถ่าย 1.0	tʰ aː j2
ถ่ายรูป 1.0	tʰ aː j2 r uː p̚3
ถ้วน 1.0	tʰ u a̯ n3
ถ้วย 1.0	tʰ u a̯ j3
ถ้วยตวง 1.0	tʰ u a̯ j3 t u a̯ ŋ1
ถ้อย 1.0	tʰ ɔ j3
ถ้อยคำ 1.0	tʰ ɔ j3 kʰ a m1
ถ้า 1.0	tʰ aː3
ถ้ำ 1.0	tʰ a m3
ถ้ำมอง 1.0	tʰ a m3 m ɔː ŋ1
ถ้ำหลวง 1.0	tʰ a m3 l u a̯ ŋ5
ท 1.0	tʰ ɔː1
ทด 1.0	tʰ o t̚4
ทดน้ำ 1.0	tʰ o t̚4 n aː m4
ทดรอง 1.0	tʰ o t̚4 r ɔː ŋ1
ทดลอง 1.0	tʰ o t̚4 l ɔː ŋ1
ทดแทน 1.0	tʰ o t̚4 tʰ ɛː n1
ทน 1.0	tʰ o n1
ทนต์ 1.0	tʰ o n1
ทนาน 1.0	tʰ a4 n aː n1
ทนาย 1.0	tʰ a4 n aː j1
ทนายความ 1.0	tʰ a4 n aː j1 kʰ w aː m1
ทบ 1.0	tʰ o p̚4
ทบทวน 1.0	tʰ o p̚4 tʰ u a̯ n1
ทบวง 1.0	tʰ a4 b u a̯ ŋ1
ทบิลีซี 1.0	tʰ a4 b i2 l iː1 s iː1
ทมิฬ 1.0	tʰ a4 m i n1
ทยอย 1.0	tʰ a4 j ɔː j1
ทรง 1.0	s o ŋ1
ทรงกระบอก 1.0	s o ŋ1 k r a2 b ɔː k̚2
ทรงกลม 1.0	s o ŋ1 k l o m1
ทรงกลมฟ้า 1.0	s o ŋ1 k l o m1 f aː4
ทรงคล้ายทรงกลม 1.0	s o ŋ1 kʰ l aː j4 s o ŋ1 k l o m1
ทรงจำ 1.0	s o ŋ1 t͡ɕ a m1
ทรงตัว 1.0	s o ŋ1 t u a̯1
ทรงผม 1.0	s o ŋ1 pʰ o m5
ทรงพระกรุณา 1.0	s o ŋ1 pʰ r a4 k a2 r u4 n aː1
ทรงพระประชวร 1.0	s o ŋ1 pʰ r a4 p r a2 t͡ɕʰ u a̯ n1
ทรงพระสุบิน 1.0	s o ŋ1 pʰ r a4 s u2 b i n1
ทรงพระเจริญ 1.0	s o ŋ1 pʰ r a4 t͡ɕ a2 r ɤː n1
ทรงยี่สิบหน้า 1.0	s o ŋ1 j iː3 s i p̚2 n aː3
ทรงรี 1.0	s o ŋ1 r iː1
ทรงสิบสองหน้า 1.0	s o ŋ1 s i p̚2 s ɔː ŋ5 n aː3
ทรงสิบหน้า 1.0	s o ŋ1 s i p̚2 n aː3
ทรงสี่หน้า 1.0	s o ŋ1 s iː2 n aː3
ทรงหกหน้า 1.0	s o ŋ1 h o k̚2 n aː3
ทรงแปดหน้า 1.0	s o ŋ1 p ɛː t̚2 n aː3
ทรชน 1.0	tʰ ɔː1 r a4 t͡ɕʰ o n1
ทรชนาธิปไตย 1.0	tʰ ɔː1 r a4 t͡ɕʰ a4 n aː1 tʰ i4 p a2 t a j1
ทรชนาธิปไตย 1.0	tʰ ɔː1 r a4 t͡ɕʰ a4 n aː1 tʰ i p̚4 p a2 t a j1
ทรพิษ 1.0	tʰ ɔː1 r a4 pʰ i t̚4
ทรพี 1.0	tʰ ɔː1 r a4 pʰ iː1
ทรมาน 1.0	tʰ ɔː1 r a4 m aː n1
ทรยศ 1.0	tʰ ɔː1 r a4 j o t̚4
ทรราช 1.0	tʰ ɔː1 r a4 r aː t̚3
ทรราชย์ 1.0	tʰ ɔː1 r a4 r aː t̚3
ทรวง 1.0	s u a̯ ŋ1
ทรหด 1.0	tʰ ɔː1 r a4 h o t̚2
ทรอมโบน 1.0	tʰ r ɔ m1 b oː n1
ทรัพยสิทธิ 1.0	s a p̚4 pʰ a4 j a4 s i t̚2
ทรัพยากร 1.0	s a p̚4 pʰ a4 j aː1 k ɔː n1
ทรัพยากรธรรมชาติ 1.0	s a p̚4 pʰ a4 j aː1 k ɔː n1 tʰ a m1 m a4 t͡ɕʰ aː t̚3
ทรัพย์ 1.0	s a p̚4
ทรัพย์สิน 1.0	s a p̚4 s i n5
ทรัมป์ 1.0	tʰ r a m4
ทรัสตี 1.0	tʰ r a s4 t iː1
ทรัสต์ 1.0	tʰ r a s4
ทรัสต์ 1.0	tʰ r a t̚4
ทราก 1.0	s aː k̚3
ทราบ 1.0	s aː p̚3
ทราบฝ่าละอองธุลีพระบาท 1.0	s aː p̚3 f aː2 l a4 ʔ ɔː ŋ1 tʰ u4 l iː1 pʰ r a4 b aː t̚2
ทราม 1.0	s aː m1
ทราย 1.0	s aː j1
ทรายดูด 1.0	s aː j1 d uː t̚2
ทรุด 1.0	s u t̚4
ทฤษฎี 1.0	tʰ r i t̚4 s a2 d iː1
ทฤษฎีบท 1.0	tʰ r i t̚4 s a2 d iː1 b o t̚2
ทฤษฎีบทค่าเฉลี่ย 1.0	tʰ r i t̚4 s a2 d iː1 b o t̚2 kʰ aː3 t͡ɕʰ a2 l i a̯2
ทฤษฎีสมคบคิด 1.0	tʰ r i t̚4 s a2 d iː1 s o m5 kʰ o p̚4 kʰ i t̚4
ทลาย 1.0	tʰ a4 l aː j1
ทวง 1.0	tʰ u a̯ ŋ1
ทวด 1.0	tʰ u a̯ t̚3
ทวน 1.0	tʰ u a̯ n1
ทวย 1.0	tʰ u a̯ j1
ทวาร 1.0	tʰ a4 w aː n1
ทวารวดี 1.0	tʰ a4 w aː1 r a4 w a4 d iː1
ทวารหนัก 1.0	tʰ a4 w aː n1 n a k̚2
ทวิ 1.0	tʰ a4 w i ʔ4
ทวิตเตอร์ 1.0	tʰ a4 w i t̚4 t ɤː3
ทวิภาค 1.0	tʰ a4 w i4 pʰ aː k̚3
ทวิราชาธิปไตย 1.0	tʰ a4 w i4 r aː1 t͡ɕʰ aː1 tʰ i4 p a2 t a j1
ทวิราชาธิปไตย 1.0	tʰ a4 w i4 r aː1 t͡ɕʰ aː1 tʰ i p̚4 p a2 t a j1
ทวีป 1.0	tʰ a4 w iː p̚3
ทว่า 1.0	tʰ a4 w aː3
ทศ 1.0	tʰ o t̚4
ทศ 1.0	tʰ a4 s a ʔ2
ทศ 1.0	tʰ o t̚4 s a2
ทศกัณฐ์ 1.0	tʰ o t̚4 s a2 k a n1
ทศมี 1.0	tʰ o t̚4 s a2 m iː1
ทศมี 1.0	tʰ a4 s a2 m iː1
ทศวรรษ 1.0	tʰ o t̚4 s a2 w a t̚4
ทส 1.0	tʰ o t̚4
ทส 1.0	tʰ o t̚4 s a2
ทสมี 1.0	tʰ o t̚4 s a2 m iː1
ทสมี 1.0	tʰ a4 s a2 m iː1
ทหาร 1.0	tʰ a4 h aː n5
ทอ 1.0	tʰ ɔː1
ทอง 1.0	tʰ ɔː ŋ1
ทองขาว 1.0	tʰ ɔː ŋ1 kʰ aː w5
ทองคำ 1.0	tʰ ɔː ŋ1 kʰ a m1
ทองคำขาว 1.0	tʰ ɔː ŋ1 kʰ a m1 kʰ aː w5
ทองคำเปลว 1.0	tʰ ɔː ŋ1 kʰ a m1 p l eː w1
ทองพันชั่ง 1.0	tʰ ɔː ŋ1 pʰ a n1 t͡ɕʰ a ŋ3
ทองหลาง 1.0	tʰ ɔː ŋ1 l aː ŋ5
ทองเหลือง 1.0	tʰ ɔː ŋ1 l ɯ a̯ ŋ5
ทองแดง 1.0	tʰ ɔː ŋ1 d ɛː ŋ1
ทองแผ่นเดียวกัน 1.0	tʰ ɔː ŋ1 pʰ ɛ n2 d i a̯ w1 k a n1
ทอด 1.0	tʰ ɔː t̚3
ทอดผ้าป่า 1.0	tʰ ɔː t̚3 pʰ aː3 p aː2
ทอดพระเนตร 1.0	tʰ ɔː t̚3 pʰ r a4 n eː t̚3
ทอดมัน 1.0	tʰ ɔː t̚3 m a n1
ทอดใจ 1.0	tʰ ɔː t̚3 t͡ɕ a j1
ทอน 1.0	tʰ ɔː n1
ทอฟฟี 1.0	tʰ ɔ p̚4 f iː3
ทอฟฟี 1.0	tʰ ɔ f4 f iː3
ทอม 1.0	tʰ ɔ m1
ทอร์นาโด 1.0	tʰ ɔː1 n aː1 d oː1
ทอเรียม 1.0	tʰ ɔː1 r i a̯ m3
ทะนาน 1.0	tʰ a4 n aː n1
ทะลาย 1.0	tʰ a4 l aː j1
ทะลุ 1.0	tʰ a4 l u ʔ4
ทะลุทะลวง 1.0	tʰ a4 l u4 tʰ a4 l u a̯ ŋ1
ทะเบียน 1.0	tʰ a4 b i a̯ n1
ทะเบียนสมรส 1.0	tʰ a4 b i a̯ n1 s o m5 r o t̚4
ทะเยอทะยาน 1.0	tʰ a4 j ɤː1 tʰ a4 j aː n1
ทะเล 1.0	tʰ a4 l eː1
ทะเลทราย 1.0	tʰ a4 l eː1 s aː j1
ทะเลสาบ 1.0	tʰ a4 l eː1 s aː p̚2
ทะเลสาบปล่องภูเขาไฟ 1.0	tʰ a4 l eː1 s aː p̚2 p l ɔ ŋ2 pʰ uː1 kʰ a w5 f a j1
ทะเลสาป 1.0	tʰ a4 l eː1 s aː p̚2
ทะเลาะ 1.0	tʰ a4 l ɔ ʔ4
ทะเลาะ 1.0	tʰ a1 l ɔ ʔ4
ทะเลแดง 1.0	tʰ a4 l eː1 d ɛː ŋ1
ทัก 1.0	tʰ a k̚4
ทักทาย 1.0	tʰ a k̚4 tʰ aː j1
ทักษะ 1.0	tʰ a k̚4 s a ʔ2
ทักษิณ 1.0	tʰ a k̚4 s i n5
ทักษิโณทก 1.0	tʰ a k̚4 s i2 n oː1 tʰ o k̚4
ทังสเตน 1.0	tʰ a ŋ1 s a2 t eː n1
ทัชสกรีน 1.0	tʰ a t̚4 s a2 k r iː n1
ทัณฑฆาต 1.0	tʰ a n1 tʰ a4 kʰ aː t̚3
ทัณฑ์ 1.0	tʰ a n1
ทัด 1.0	tʰ a t̚4
ทัดดอกไม้ 1.0	tʰ a t̚4 d ɔː k̚2 m a j4
ทัน 1.0	tʰ a n1
ทันควัน 1.0	tʰ a n1 kʰ w a n1
ทันต 1.0	tʰ a n1 t a2
ทันตแพทยศาสตร์ 1.0	tʰ a n1 t a2 pʰ ɛː t̚3 tʰ a4 j a4 s aː t̚2
ทันตแพทย์ 1.0	tʰ a n1 t a2 pʰ ɛː t̚3
ทันตแพทย์ 1.0	tʰ a n1 t a2 pʰ ɛː t̚3 tʰ a4 j a4
ทันต์ 1.0	tʰ a n1
ทันที 1.0	tʰ a n1 tʰ iː1
ทันสมัย 1.0	tʰ a n1 s a2 m a j5
ทันใด 1.0	tʰ a n1 d a j1
ทับ 1.0	tʰ a p̚4
ทับซ้อน 1.0	tʰ a p̚4 s ɔː n4
ทับถม 1.0	tʰ a p̚4 tʰ o m5
ทับทรวง 1.0	tʰ a p̚4 s u a̯ ŋ1
ทับทิม 1.0	tʰ a p̚4 tʰ i m1
ทับศัพท์ 1.0	tʰ a p̚4 s a p̚2
ทับสิทธิ์ 1.0	tʰ a p̚4 s i t̚2
ทับแพ 1.0	tʰ a p̚4 pʰ ɛː1
ทัพ 1.0	tʰ a p̚4
ทัพ 1.0	tʰ a p̚4 pʰ a4
ทัพชัย 1.0	tʰ a p̚4 t͡ɕʰ a j1
ทัพพี 1.0	tʰ a p̚4 pʰ iː1
ทัพหลวง 1.0	tʰ a p̚4 l u a̯ ŋ5
ทัพเรือ 1.0	tʰ a p̚4 r ɯ a̯1
ทัพไชย 1.0	tʰ a p̚4 t͡ɕʰ a j1
ทัวร์ 1.0	tʰ u a̯1
ทัวร์ลง 1.0	tʰ u a̯1 l o ŋ1
ทัศนคติ 1.0	tʰ a t̚4 s a2 n a4 kʰ a4 t i ʔ2
ทัศนวิสัย 1.0	tʰ a t̚4 s a2 n a4 w i4 s a j5
ทัศนาจร 1.0	tʰ a t̚4 s a2 n aː1 t͡ɕ ɔː n1
ทั่ง 1.0	tʰ a ŋ3
ทั่ว 1.0	tʰ u a̯3
ทั่วไป 1.0	tʰ u a̯3 p a j1
ทั้ง 1.0	tʰ a ŋ4
ทั้งกลม 1.0	tʰ a ŋ4 k l o m1
ทั้งปวง 1.0	tʰ a ŋ4 p u a̯ ŋ1
ทั้งวัน 1.0	tʰ a ŋ4 w a n1
ทั้งหมด 1.0	tʰ a ŋ4 m o t̚2
ทั้งหลาย 1.0	tʰ a ŋ4 l aː j5
ทา 1.0	tʰ aː1
ทาก 1.0	tʰ aː k̚3
ทากทะเล 1.0	tʰ aː k̚3 tʰ a4 l eː1
ทาง 1.0	tʰ aː ŋ1
ทางการ 1.0	tʰ aː ŋ1 k aː n1
ทางขวา 1.0	tʰ aː ŋ1 kʰ w aː5
ทางช้างเผือก 1.0	tʰ aː ŋ1 t͡ɕʰ aː ŋ4 pʰ ɯ a̯ k̚2
ทางซ้าย 1.0	tʰ aː ŋ1 s aː j4
ทางด่วน 1.0	tʰ aː ŋ1 d u a̯ n2
ทางตัน 1.0	tʰ aː ŋ1 t a n1
ทางน้ำล้น 1.0	tʰ aː ŋ1 n aː m4 l o n4
ทางม้าลาย 1.0	tʰ aː ŋ1 m aː4 l aː j1
ทางลัด 1.0	tʰ aː ŋ1 l a t̚4
ทางสามแพร่ง 1.0	tʰ aː ŋ1 s aː m5 pʰ r ɛ ŋ3
ทางหนีไฟ 1.0	tʰ aː ŋ1 n iː5 f a j1
ทางหลวง 1.0	tʰ aː ŋ1 l u a̯ ŋ5
ทางออก 1.0	tʰ aː ŋ1 ʔ ɔː k̚2
ทางเข้า 1.0	tʰ aː ŋ1 kʰ a w3
ทางเดิน 1.0	tʰ aː ŋ1 d ɤː n1
ทางเดินอาหาร 1.0	tʰ aː ŋ1 d ɤː n1 ʔ aː1 h aː n5
ทางเพศ 1.0	tʰ aː ŋ1 pʰ eː t̚3
ทางเลือก 1.0	tʰ aː ŋ1 l ɯ a̯ k̚3
ทาจิกิสถาน 1.0	tʰ aː1 t͡ɕ i2 k i s4 tʰ aː n5
ทาจิกิสถาน 1.0	tʰ aː1 t͡ɕ i2 k i t̚4 s a2 tʰ aː n5
ทาชเคนต์ 1.0	tʰ aː t͡ɕʰ4 kʰ e n4
ทาฐิกะ 1.0	tʰ aː1 tʰ i2 k a ʔ2
ทาตุ 1.0	tʰ aː t̚3
ทาน 1.0	tʰ aː n1
ทาน 1.0	tʰ aː1 n a4
ทาน 1.0	tʰ aː n1 n a4
ทานข้าว 1.0	tʰ aː n1 kʰ aː w3
ทานตะวัน 1.0	tʰ aː n1 t a2 w a n1
ทานาคา 1.0	tʰ aː1 n aː1 kʰ aː1
ทาบ 1.0	tʰ aː p̚3
ทาย 1.0	tʰ aː j1
ทายาท 1.0	tʰ aː1 j aː t̚3
ทายาทโดยธรรม 1.0	tʰ aː1 j aː t̚3 d oː j1 tʰ a m1
ทารก 1.0	tʰ aː1 r o k̚4
ทารกในครรภ์ 1.0	tʰ aː1 r o k̚4 n a j1 kʰ a n1
ทาร์เซียร์ 1.0	tʰ aː1 s i a̯1
ทาลลินน์ 1.0	tʰ aː l1 l i n1
ทาลลินน์ 1.0	tʰ aː n1 l i n1
ทาส 1.0	tʰ aː t̚3
ทาสี 1.0	tʰ aː1 s iː5
ทำ 1.0	tʰ a m1
ทำการบ้าน 1.0	tʰ a m1 k aː n1 b aː n3
ทำความสะอาด 1.0	tʰ a m1 kʰ w aː m1 s a2 ʔ aː t̚2
ทำงาน 1.0	tʰ a m1 ŋ aː n1
ทำซ้ำ 1.0	tʰ a m1 s aː m4
ทำตัว 1.0	tʰ a m1 t u a̯1
ทำท่า 1.0	tʰ a m1 tʰ aː3
ทำนบ 1.0	tʰ a m1 n o p̚4
ทำนอง 1.0	tʰ a m1 n ɔː ŋ1
ทำนองเสียง 1.0	tʰ a m1 n ɔː ŋ1 s i a̯ ŋ5
ทำนาบนหลังคน 1.0	tʰ a m1 n aː1 b o n1 l a ŋ5 kʰ o n1
ทำนาย 1.0	tʰ a m1 n aː j1
ทำนูล 1.0	tʰ a m1 n uː l1
ทำบุญ 1.0	tʰ a m1 b u n1
ทำมาหากิน 1.0	tʰ a m1 m aː1 h aː5 k i n1
ทำร้าย 1.0	tʰ a m1 r aː j4
ทำลาย 1.0	tʰ a m1 l aː j1
ทำสมาธิ 1.0	tʰ a m1 s a2 m aː1 tʰ i ʔ4
ทำออรัล 1.0	tʰ a m1 ʔ ɔː1 r a l3
ทำอาหาร 1.0	tʰ a m1 ʔ aː1 h aː n5
ทำเนียบ 1.0	tʰ a m1 n i a̯ p̚3
ทำเนียบขาว 1.0	tʰ a m1 n i a̯ p̚3 kʰ aː w5
ทำเล 1.0	tʰ a m1 l eː1
ทำแท้ง 1.0	tʰ a m1 tʰ ɛ ŋ4
ทำแผล 1.0	tʰ a m1 pʰ l ɛː5
ทำใจ 1.0	tʰ a m1 t͡ɕ a j1
ทำให้ 1.0	tʰ a m1 h a j3
ทำไม 1.0	tʰ a m1 m a j1
ทิชชู 1.0	tʰ i t̚4 t͡ɕʰ uː3
ทิชชู่ 1.0	tʰ i t̚4 t͡ɕʰ uː3
ทิชากร 1.0	tʰ i4 t͡ɕʰ aː1 k ɔː n1
ทิด 1.0	tʰ i t̚4
ทิป 1.0	tʰ i p̚4
